tconst,title_key,startYear,year_film,oscar_num_nominations,oscar_num_wins,oscar_was_nominated,oscar_was_winner,year_diff
tt1120985,blue valentine,2010,2010,1,0,1,0,0.0
tt0068918,manson,1973,1972,1,0,1,0,1.0
tt0780521,the princess and the frog,2009,2009,3,0,1,0,0.0
tt0050356,the enemy below,1957,1957,1,1,1,1,0.0
tt14039582,drive my car,2021,2021,4,1,1,1,0.0
tt0023686,what price hollywood,1932,1931,1,0,1,0,1.0
tt0039566,life with father,1947,1947,4,0,1,0,0.0
tt8291806,pain and glory,2019,2019,2,0,1,0,0.0
tt0109830,forrest gump,1994,1994,13,6,1,1,0.0
tt0025164,the gay divorcee,1934,1934,5,1,1,1,0.0
tt0172396,the end of the affair,1999,1999,2,0,1,0,0.0
tt0053796,the entertainer,1960,1960,1,0,1,0,0.0
tt1825683,black panther,2018,2018,7,3,1,1,0.0
tt0066561,when dinosaurs ruled the earth,1970,1971,1,0,1,0,1.0
tt0243133,the man who wasn t there,2001,2001,1,0,1,0,0.0
tt0310281,a mighty wind,2003,2003,1,0,1,0,0.0
tt0086005,never cry wolf,1983,1983,1,0,1,0,0.0
tt0076348,madame rosa,1977,1977,1,1,1,1,0.0
tt0052809,the five pennies,1959,1959,4,0,1,0,0.0
tt2024544,12 years a slave,2013,2013,9,3,1,1,0.0
tt0367089,the squid and the whale,2005,2005,1,0,1,0,0.0
tt0091886,salvador,1986,1986,2,0,1,0,0.0
tt0113987,nixon,1995,1995,4,0,1,0,0.0
tt0468565,tsotsi,2005,2005,1,1,1,1,0.0
tt4566758,mulan,2020,2020,2,0,1,0,0.0
tt0238119,boys don t cry,2000,1999,2,1,1,1,1.0
tt0105089,the panama deception,1992,1992,1,1,1,1,0.0
tt0049223,forbidden planet,1956,1956,1,0,1,0,0.0
tt1843866,captain america the winter soldier,2014,2014,1,0,1,0,0.0
tt0033802,ladies in retirement,1941,1941,2,0,1,0,0.0
tt4154796,avengers endgame,2019,2019,1,0,1,0,0.0
tt0042906,la ronde,1950,1951,2,0,1,0,1.0
tt0029942,boys town,1938,1938,5,2,1,1,0.0
tt0055614,west side story,1961,1961,11,10,1,1,0.0
tt0758758,into the wild,2007,2007,2,0,1,0,0.0
tt0056592,to kill a mockingbird,1962,1962,8,3,1,1,0.0
tt0063374,the odd couple,1968,1968,2,0,1,0,0.0
tt0053765,the goddess,1960,1958,1,0,1,0,2.0
tt0116209,the english patient,1996,1996,12,9,1,1,0.0
tt0032484,foreign correspondent,1940,1940,6,0,1,0,0.0
tt0057163,hud,1963,1963,7,3,1,1,0.0
tt0033766,it started with eve,1941,1942,1,0,1,0,1.0
tt0037017,lifeboat,1944,1944,3,0,1,0,0.0
tt0045793,from here to eternity,1953,1953,13,8,1,1,0.0
tt0062994,funny girl,1968,1968,8,1,1,1,0.0
tt0064612,my night at maud s,1969,1969,1,0,1,0,0.0
tt0038787,notorious,1946,1946,2,0,1,0,0.0
tt0472043,apocalypto,2006,2006,3,0,1,0,0.0
tt0084865,victor victoria,1982,1982,7,1,1,1,0.0
tt0054997,the hustler,1961,1961,9,2,1,1,0.0
tt2543164,arrival,2016,2016,8,1,1,1,0.0
tt0241527,harry potter and the sorcerer s stone,2001,2001,3,0,1,0,0.0
tt2310332,the hobbit the battle of the five armies,2014,2014,1,0,1,0,0.0
tt0082736,mephisto,1981,1981,1,1,1,1,0.0
tt0099785,home alone,1990,1990,2,0,1,0,0.0
tt0119561,the long way home,1997,1997,1,1,1,1,0.0
tt0414387,pride prejudice,2005,2005,4,0,1,0,0.0
tt0408236,sweeney todd the demon barber of fleet street,2007,2007,3,1,1,1,0.0
tt0340855,monster,2003,2003,1,1,1,1,0.0
tt0111161,the shawshank redemption,1994,1994,7,0,1,0,0.0
tt0104466,husbands and wives,1992,1992,2,0,1,0,0.0
tt0343168,the weather underground,2002,2003,1,0,1,0,1.0
tt2375605,the act of killing,2012,2013,1,0,1,0,1.0
tt0057578,this sporting life,1963,1963,2,0,1,0,0.0
tt0373861,the story of the weeping camel,2003,2004,1,0,1,0,1.0
tt0042792,no way out,1950,1950,1,0,1,0,0.0
tt0053285,sleeping beauty,1959,1959,1,0,1,0,0.0
tt2401878,anomalisa,2015,2015,1,0,1,0,0.0
tt0031381,gone with the wind,1939,1939,14,9,1,1,0.0
tt0116692,beyond silence,1996,1997,1,0,1,0,1.0
tt0057933,the chalk garden,1964,1964,1,0,1,0,0.0
tt0077413,death on the nile,1978,1978,1,1,1,1,0.0
tt1853728,django unchained,2012,2012,5,2,1,1,0.0
tt0104797,malcolm x,1992,1992,2,0,1,0,0.0
tt0091064,the fly,1986,1986,1,1,1,1,0.0
tt0085370,entre nous,1983,1983,1,0,1,0,0.0
tt1285016,the social network,2010,2010,8,3,1,1,0.0
tt0040506,key largo,1948,1948,1,1,1,1,0.0
tt1398426,straight outta compton,2015,2015,1,0,1,0,0.0
tt0120866,titus,1999,1999,1,0,1,0,0.0
tt0043278,an american in paris,1951,1951,8,6,1,1,0.0
tt0067093,fiddler on the roof,1971,1971,8,3,1,1,0.0
tt0397535,memoirs of a geisha,2005,2005,6,3,1,1,0.0
tt0038107,the southerner,1945,1945,3,0,1,0,0.0
tt0032181,abe lincoln in illinois,1940,1940,2,0,1,0,0.0
tt0029747,way out west,1937,1937,1,0,1,0,0.0
tt0056264,mutiny on the bounty,1962,1962,7,0,1,0,0.0
tt0089560,mask,1985,1985,1,1,1,1,0.0
tt0358273,walk the line,2005,2005,5,1,1,1,0.0
tt0029995,the citadel,1938,1938,4,0,1,0,0.0
tt0028683,camille,1936,1937,1,0,1,0,1.0
tt0024264,little women,1933,1932,3,1,1,1,1.0
tt0058213,hush hush sweet charlotte,1964,1964,7,0,1,0,0.0
tt1392190,mad max fury road,2015,2015,10,6,1,1,0.0
tt0093870,robocop,1987,1987,3,1,1,1,0.0
tt0118849,children of heaven,1997,1998,1,0,1,0,1.0
tt0031088,beau geste,1939,1939,2,0,1,0,0.0
tt0116040,daylight,1996,1996,1,0,1,0,0.0
tt0338751,the aviator,2004,2004,11,5,1,1,0.0
tt0057360,a new kind of love,1963,1963,2,0,1,0,0.0
tt4575576,christopher robin,2018,2018,1,0,1,0,0.0
tt5278466,jim the james foley story,2016,2016,1,0,1,0,0.0
tt0082348,excalibur,1981,1981,1,0,1,0,0.0
tt0088213,swing shift,1984,1984,1,0,1,0,0.0
tt0067116,the french connection,1971,1971,8,5,1,1,0.0
tt0038991,the stranger,1946,1946,1,0,1,0,0.0
tt2120152,the invisible war,2012,2012,1,0,1,0,0.0
tt0096018,running on empty,1988,1988,2,0,1,0,0.0
tt0094737,big,1988,1988,2,0,1,0,0.0
tt0107756,orlando,1992,1993,2,0,1,0,1.0
tt0041841,sands of iwo jima,1949,1949,4,0,1,0,0.0
tt3750872,the wife,2017,2018,1,0,1,0,1.0
tt0032701,the letter,1940,1940,7,0,1,0,0.0
tt4908644,winter on fire ukraine s fight for freedom,2015,2015,1,0,1,0,0.0
tt0816692,interstellar,2014,2014,5,1,1,1,0.0
tt0074554,the front,1976,1976,1,0,1,0,0.0
tt6294822,the post,2017,2017,2,0,1,0,0.0
tt0054749,two women,1960,1961,1,1,1,1,1.0
tt0054743,the children s hour,1961,1961,5,0,1,0,0.0
tt0088939,the color purple,1985,1985,11,0,1,0,0.0
tt0350258,ray,2004,2004,6,2,1,1,0.0
tt0043459,decision before dawn,1951,1951,2,0,1,0,0.0
tt0041113,all the king s men,1949,1949,7,3,1,1,0.0
tt0040724,red river,1948,1948,2,0,1,0,0.0
tt1255953,incendies,2010,2010,1,0,1,0,0.0
tt0095276,hanussen,1988,1988,1,0,1,0,0.0
tt0110367,little women,1994,1994,3,0,1,0,0.0
tt0086567,wargames,1983,1983,3,0,1,0,0.0
tt0407265,transamerica,2005,2005,2,0,1,0,0.0
tt0083833,diner,1982,1982,1,0,1,0,0.0
tt0063518,romeo and juliet,1968,1968,4,2,1,1,0.0
tt0055256,one two three,1961,1961,1,0,1,0,0.0
tt0075686,annie hall,1977,1977,5,4,1,1,0.0
tt0039286,crossfire,1947,1947,5,0,1,0,0.0
tt0264476,children underground,2001,2001,1,0,1,0,0.0
tt0298203,8 mile,2002,2002,1,1,1,1,0.0
tt0469494,there will be blood,2007,2007,8,2,1,1,0.0
tt0929809,the class,2007,2008,1,0,1,0,1.0
tt0959337,revolutionary road,2008,2008,3,0,1,0,0.0
tt0034862,holiday inn,1942,1942,3,1,1,1,0.0
tt0047573,them,1954,1954,1,0,1,0,0.0
tt0055539,town without pity,1961,1961,1,0,1,0,0.0
tt1229822,jane eyre,2011,2011,1,0,1,0,0.0
tt0039631,monsieur verdoux,1947,1947,1,0,1,0,0.0
tt0211915,amelie,2001,2001,5,0,1,0,0.0
tt0325710,the last samurai,2003,2003,4,0,1,0,0.0
tt2714900,finding vivian maier,2013,2014,1,0,1,0,1.0
tt0347149,howl s moving castle,2004,2005,1,0,1,0,1.0
tt0058404,the night of the iguana,1964,1964,4,1,1,1,0.0
tt0107156,the wedding banquet,1993,1993,1,0,1,0,0.0
tt0055499,through a glass darkly,1961,1961,1,1,1,1,0.0
tt12789558,belfast,2021,2021,7,1,1,1,0.0
tt1504320,the king s speech,2010,2010,12,4,1,1,0.0
tt0120324,a simple plan,1998,1998,2,0,1,0,0.0
tt0369702,the sea inside,2004,2004,2,1,1,1,0.0
tt0040795,sitting pretty,1948,1948,1,0,1,0,0.0
tt0316654,spider man 2,2004,2004,3,1,1,1,0.0
tt0052218,some came running,1958,1958,5,0,1,0,0.0
tt0049777,the solid gold cadillac,1956,1956,2,1,1,1,0.0
tt0042296,caged,1950,1950,3,0,1,0,0.0
tt2948356,zootopia,2016,2016,1,1,1,1,0.0
tt0299658,chicago,2002,2002,13,6,1,1,0.0
tt3398268,when marnie was there,2014,2015,1,0,1,0,1.0
tt3674140,the salt of the earth,2014,2014,1,0,1,0,0.0
tt0245712,amores perros,2001,2000,1,0,1,0,1.0
