tconst,rt_id,rt_movie_title,rt_year,rt_tomatometer_rating,rt_tomatometer_count,rt_audience_rating,rt_audience_count,rt_runtime_minutes,rt_high,rt_certified_fresh,candidate_count,year_diff,runtime_diff
tt0038991,736,The Stranger,1946.0,96,26,80.0,5245.0,96.0,1.0,0,1,0.0,1.0
tt0039208,1028,Boomerang!,1947.0,76,17,64.0,548.0,88.0,1.0,0,1,0.0,0.0
tt0039224,3906,Brute Force,1947.0,91,11,87.0,1636.0,94.0,1.0,0,1,0.0,4.0
tt0039286,4752,Crossfire,1947.0,81,16,76.0,1875.0,86.0,1.0,0,1,0.0,0.0
tt0039302,4899,Dark Passage,1947.0,93,27,82.0,6534.0,106.0,1.0,0,1,0.0,0.0
tt0039420,6582,The Ghost and Mrs. Muir,1947.0,100,16,88.0,8874.0,104.0,1.0,0,1,0.0,0.0
tt0039536,808,Kiss of Death,1947.0,88,16,76.0,2044.0,98.0,1.0,0,1,0.0,1.0
tt0039566,8971,Life With Father,1947.0,91,11,78.0,1631.0,118.0,1.0,0,1,0.0,0.0
tt0039631,9955,Monsieur Verdoux,1947.0,97,32,88.0,5461.0,125.0,1.0,0,1,0.0,1.0
tt0039661,1433,Nightmare Alley,1947.0,100,11,87.0,1665.0,111.0,1.0,0,1,0.0,1.0
tt0039677,624,Odd Man Out,1947.0,100,30,86.0,1963.0,111.0,1.0,0,1,0.0,5.0
tt0039768,11818,Ride the Pink Horse,1947.0,100,7,89.0,262.0,101.0,1.0,0,1,0.0,0.0
tt0040068,2181,Abbott and Costello Meet Frankenstein,1948.0,88,26,85.0,8601.0,83.0,1.0,0,1,0.0,0.0
tt0040308,5548,Easter Parade,1948.0,90,21,86.0,9306.0,103.0,1.0,0,1,0.0,0.0
tt0040338,5921,The Fallen Idol,1949.0,100,33,88.0,2335.0,92.0,1.0,0,1,1.0,3.0
tt0040427,7158,He Walked by Night,1948.0,86,7,61.0,457.0,80.0,1.0,0,1,0.0,1.0
tt0040495,528,Johnny Belinda,1948.0,89,9,88.0,1421.0,103.0,1.0,0,1,0.0,1.0
tt0040506,8423,Key Largo,1948.0,97,34,88.0,11983.0,101.0,1.0,0,1,0.0,1.0
tt0040525,14402,The Lady From Shanghai,1948.0,82,45,85.0,8708.0,87.0,1.0,1,1,1.0,0.0
tt0040536,8912,Letter From an Unknown Woman,1948.0,100,22,86.0,2613.0,90.0,1.0,0,1,0.0,3.0
tt0040724,11668,Red River,,100,28,88.0,8507.0,133.0,1.0,0,1,,0.0
tt0040725,675,The Red Shoes,1948.0,96,57,92.0,11718.0,136.0,1.0,1,1,0.0,1.0
tt0040866,8652,La Terra trema,1948.0,90,10,86.0,893.0,161.0,1.0,0,1,0.0,1.0
tt0041113,61,All the King's Men,1949.0,97,35,78.0,4844.0,109.0,1.0,0,1,0.0,1.0
tt0041268,4733,Criss Cross,1949.0,100,10,79.0,1607.0,98.0,1.0,0,1,0.0,14.0
tt0041386,6295,The Fountainhead,1949.0,83,12,74.0,4164.0,114.0,1.0,0,1,0.0,0.0
tt0041507,7835,In the Good Old Summertime,1949.0,60,10,79.0,3997.0,102.0,0.0,0,1,0.0,0.0
tt0041841,12118,Sands of Iwo Jima,1950.0,100,10,80.0,9800.0,109.0,1.0,0,1,1.0,9.0
tt0041928,13173,The Stratton Story,1949.0,86,7,81.0,1253.0,106.0,1.0,0,1,0.0,0.0
tt0042192,52,All About Eve,1950.0,100,67,94.0,45151.0,138.0,1.0,1,1,0.0,0.0
tt0042286,333,Broken Arrow,1950.0,89,9,70.0,1021.0,93.0,1.0,0,1,0.0,0.0
tt0042451,428,Father of the Bride,1950.0,93,30,74.0,13890.0,93.0,1.0,0,1,0.0,1.0
tt0042792,1130,No Way Out,1950.0,90,10,82.0,582.0,106.0,1.0,0,1,0.0,0.0
tt0042876,11594,Rashômon,1951.0,98,54,93.0,48038.0,83.0,1.0,1,1,1.0,5.0
tt0042994,728,Stage Fright,1950.0,90,20,68.0,5937.0,110.0,1.0,0,1,0.0,0.0
tt0043041,15224,Three Came Home,1950.0,100,8,72.0,853.0,106.0,1.0,0,1,0.0,0.0
tt0043137,793,Winchester '73,1950.0,100,21,86.0,5444.0,92.0,1.0,0,1,0.0,0.0
tt0043278,2544,An American in Paris,1951.0,95,62,79.0,26417.0,115.0,1.0,1,1,0.0,1.0
tt0043379,4080,Captain Horatio Hornblower,1951.0,100,8,77.0,1186.0,117.0,1.0,0,1,0.0,0.0
tt0043459,5058,Decision Before Dawn,1951.0,100,6,69.0,334.0,119.0,1.0,0,1,0.0,0.0
tt0043879,10689,On Dangerous Ground,1952.0,94,18,79.0,1151.0,96.0,1.0,0,1,1.0,14.0
tt0044406,3241,Bela Lugosi Meets a Brooklyn Gorilla,1952.0,29,7,17.0,215.0,74.0,0.0,0,1,0.0,0.0
tt0044926,599,Moulin Rouge,1952.0,78,9,90.0,68244.0,119.0,1.0,0,1,0.0,0.0
tt0045205,13228,Sudden Fear,1952.0,100,7,84.0,1393.0,110.0,1.0,0,1,0.0,0.0
tt0045537,3021,The Band Wagon,1953.0,100,18,82.0,4679.0,112.0,1.0,0,1,0.0,0.0
tt0045555,306,The Big Heat,,100,29,90.0,5939.0,90.0,1.0,0,1,,1.0
tt0045793,442,From Here to Eternity,1953.0,92,52,84.0,14848.0,118.0,1.0,1,1,0.0,0.0
tt0045826,6675,Glen or Glenda?,1953.0,35,23,33.0,7221.0,65.0,0.0,0,1,0.0,0.0
tt0045883,7419,Hondo,1953.0,86,7,74.0,7569.0,83.0,1.0,0,1,0.0,0.0
tt0045897,7639,I Confess,1952.0,81,27,76.0,7430.0,95.0,1.0,0,1,1.0,0.0
tt0046183,636,Peter Pan,1953.0,80,35,80.0,277881.0,77.0,1.0,0,1,0.0,0.0
tt0046672,4,"20,000 Leagues Under The Sea",1954.0,89,27,74.0,68860.0,127.0,1.0,0,1,0.0,0.0
tt0046816,4011,The Caine Mutiny,1954.0,92,25,87.0,7541.0,124.0,1.0,0,1,0.0,0.0
tt0046874,375,The Country Girl,1954.0,86,7,78.0,3102.0,104.0,1.0,0,1,0.0,0.0
tt0046912,5188,Dial M for Murder,1954.0,89,45,92.0,38044.0,106.0,1.0,1,1,0.0,1.0
tt0047123,8042,It Should Happen to You,1954.0,100,12,75.0,757.0,86.0,1.0,0,1,0.0,0.0
tt0047296,10705,On the Waterfront,1954.0,98,64,95.0,52099.0,108.0,1.0,1,1,0.0,0.0
tt0047437,692,Sabrina,1954.0,92,37,89.0,55264.0,113.0,1.0,0,1,0.0,0.0
tt0047494,12561,The Silver Chalice,1954.0,13,8,19.0,164.0,142.0,0.0,0,1,0.0,0.0
tt0047573,757,Them!,1954.0,100,27,77.0,8701.0,93.0,1.0,0,1,0.0,1.0
tt0047647,15837,Vera Cruz,1954.0,83,12,70.0,2074.0,94.0,1.0,0,1,0.0,0.0
tt0047834,2666,Animal Farm,1954.0,60,10,67.0,6969.0,73.0,0.0,0,1,0.0,1.0
tt0047849,2968,Bad Day at Black Rock,1955.0,97,30,88.0,5811.0,82.0,1.0,0,1,0.0,1.0
tt0047878,3369,The Big Combo,1955.0,92,13,81.0,2200.0,87.0,1.0,0,1,0.0,0.0
tt0047892,3639,Bob le Flambeur,,97,31,90.0,5191.0,100.0,1.0,0,1,,2.0
tt0047898,3814,Bride of the Monster,1955.0,45,11,29.0,6091.0,70.0,0.0,0,1,0.0,1.0
tt0048140,6979,Guys and Dolls,1955.0,91,32,83.0,30820.0,150.0,1.0,0,1,0.0,0.0
tt0048342,9446,The Man From Laramie,1955.0,100,9,78.0,3404.0,104.0,1.0,0,1,0.0,1.0
tt0048347,14544,The Man With the Golden Arm,1955.0,86,21,84.0,4093.0,119.0,1.0,0,1,0.0,0.0
tt0048380,593,Mister Roberts,1955.0,92,25,85.0,6722.0,123.0,1.0,0,1,0.0,0.0
tt0048424,10437,The Night of the Hunter,1955.0,99,69,90.0,24644.0,93.0,1.0,1,1,0.0,1.0
tt0048473,11013,Pather Panchali,1955.0,98,43,94.0,6061.0,126.0,1.0,1,1,0.0,1.0
tt0048545,11632,Rebel Without a Cause,1955.0,96,49,88.0,58485.0,111.0,1.0,1,1,0.0,0.0
tt0048641,12699,Smiles of a Summer Night,1955.0,100,13,89.0,6018.0,110.0,1.0,0,1,0.0,1.0
tt0048673,13258,Summertime,1955.0,94,16,81.0,3772.0,98.0,1.0,0,1,0.0,4.0
tt0048947,831,Anastasia,1956.0,90,10,78.0,13698.0,105.0,1.0,0,1,0.0,0.0
tt0049223,6264,Forbidden Planet,1956.0,98,44,85.0,21431.0,98.0,1.0,1,1,0.0,0.0
tt0049261,6616,Giant,1956.0,95,41,87.0,24233.0,197.0,1.0,1,1,0.0,4.0
tt0049470,14541,The Man Who Knew Too Much,1956.0,91,33,84.0,33960.0,120.0,1.0,0,1,0.0,0.0
tt0049474,9451,The Man in the Gray Flannel Suit,1956.0,75,12,72.0,1780.0,153.0,1.0,0,1,0.0,0.0
tt0049777,12753,The Solid Gold Cadillac,1956.0,100,5,67.0,535.0,99.0,1.0,0,1,0.0,0.0
tt0049833,754,The Ten Commandments,1956.0,94,35,87.0,60187.0,219.0,1.0,0,1,0.0,1.0
tt0050356,5704,The Enemy Below,1957.0,80,5,87.0,4612.0,98.0,1.0,0,1,0.0,0.0
tt0050371,5892,A Face in the Crowd,1957.0,93,28,94.0,4991.0,125.0,1.0,0,1,0.0,1.0
tt0050490,7198,Heaven Knows Mr. Allison,1957.0,88,8,81.0,2730.0,108.0,1.0,0,1,0.0,1.0
tt0050539,7874,The Incredible Shrinking Man,1957.0,92,24,82.0,3871.0,81.0,1.0,0,1,0.0,0.0
tt0050858,11365,The Pride and the Passion,1957.0,25,8,25.0,1635.0,132.0,0.0,0,1,0.0,0.0
tt0050986,16315,Wild Strawberries,1957.0,95,43,94.0,22600.0,90.0,1.0,1,1,0.0,1.0
tt0051087,15302,The Tin Star,1957.0,80,5,72.0,1491.0,92.0,1.0,0,1,0.0,1.0
tt0051337,12345,The 7th Voyage of Sinbad,1958.0,100,14,77.0,8741.0,88.0,1.0,0,1,0.0,0.0
tt0051411,3370,The Big Country,1958.0,100,12,90.0,5494.0,168.0,1.0,0,1,0.0,2.0
tt0051739,7459,The Horse's Mouth,1958.0,94,16,76.0,1183.0,93.0,1.0,0,1,0.0,4.0
tt0051845,8732,The Last Hurrah,1958.0,92,12,82.0,777.0,121.0,1.0,0,1,0.0,0.0
tt0052104,11503,Queen of Outer Space,1958.0,18,11,23.0,538.0,80.0,0.0,0,1,0.0,0.0
tt0052151,12029,"Run Silent, Run Deep",1958.0,100,8,79.0,5553.0,93.0,1.0,0,1,0.0,0.0
tt0052218,12764,Some Came Running,1959.0,82,11,76.0,864.0,136.0,1.0,0,1,1.0,1.0
tt0052311,773,Touch of Evil,1958.0,96,76,92.0,31149.0,95.0,1.0,1,1,0.0,0.0
tt0052357,15847,Vertigo,1958.0,95,75,93.0,102296.0,128.0,1.0,1,1,0.0,0.0
tt0052561,2623,Anatomy of a Murder,1959.0,100,45,90.0,12316.0,160.0,1.0,1,1,0.0,1.0
tt0052572,15104,The World of Apu,1960.0,96,26,95.0,3876.0,103.0,1.0,0,1,1.0,2.0
tt0052611,14145,The Giant Behemoth,1959.0,20,5,30.0,539.0,80.0,0.0,0,1,0.0,0.0
tt0052918,501,Imitation of Life,1959.0,84,25,91.0,9578.0,125.0,1.0,0,1,0.0,0.0
tt0052969,8469,The Killer Shrews,1959.0,50,10,25.0,2479.0,70.0,0.0,0,1,0.0,1.0
tt0052997,14452,The League of Gentlemen,1959.0,86,7,84.0,942.0,115.0,1.0,0,1,1.0,1.0
tt0053137,627,On the Beach,1959.0,76,21,69.0,4358.0,134.0,1.0,0,1,0.0,0.0
tt0053183,11296,Pork Chop Hill,,80,5,70.0,2571.0,97.0,1.0,0,1,,0.0
tt0053285,718,Sleeping Beauty,1959.0,88,42,80.0,427893.0,75.0,1.0,1,1,0.0,0.0
tt0053472,3803,Breathless,1961.0,97,64,90.0,38879.0,90.0,1.0,1,1,1.0,0.0
tt0053779,5315,La Dolce Vita,1960.0,97,61,90.0,34049.0,174.0,1.0,1,1,0.0,0.0
tt0053796,842,The Entertainer,1960.0,75,12,73.0,1162.0,97.0,1.0,0,1,0.0,1.0
tt0054047,573,The Magnificent Seven,1960.0,88,43,87.0,53958.0,126.0,1.0,1,1,0.0,2.0
tt0054067,3496,Black Sunday,1960.0,86,21,77.0,6595.0,83.0,1.0,0,1,0.0,4.0
tt0054240,10802,Orgy of the Dead,1965.0,0,6,22.0,1300.0,90.0,0.0,0,1,0.0,2.0
tt0054292,12313,Sergeant Rutledge,1960.0,86,7,89.0,341.0,112.0,1.0,0,1,0.0,1.0
tt0054353,740,The Sundowners,1960.0,82,11,63.0,586.0,133.0,1.0,0,1,0.0,0.0
tt0054357,747,Swiss Family Robinson,1960.0,82,22,78.0,41448.0,126.0,1.0,0,1,0.0,0.0
tt0054387,768,The Time Machine,1960.0,77,35,79.0,19456.0,103.0,1.0,0,1,0.0,0.0
tt0054412,15558,Tunes of Glory,1960.0,71,7,79.0,1086.0,107.0,0.0,0,1,0.0,0.0
tt0054476,16312,Wild River,1960.0,100,12,83.0,525.0,115.0,1.0,0,1,0.0,5.0
tt0054743,4303,The Children's Hour,1961.0,86,7,84.0,7213.0,107.0,1.0,0,1,0.0,1.0
tt0054997,7598,The Hustler,1961.0,98,43,93.0,31176.0,134.0,1.0,1,1,0.0,0.0
tt0055032,8305,Jules and Jim,1962.0,92,39,89.0,21517.0,104.0,1.0,0,1,0.0,1.0
tt0055100,9282,Lover Come Back,1961.0,90,10,77.0,5723.0,107.0,1.0,0,1,0.0,0.0
tt0055257,10729,One-Eyed Jacks,1961.0,53,15,73.0,2976.0,141.0,0.0,0,1,0.0,0.0
tt0055277,633,The Parent Trap,1961.0,90,20,75.0,174597.0,127.0,1.0,0,1,0.0,2.0
tt0055597,15863,Victim,1961.0,100,28,87.0,1335.0,90.0,1.0,0,2,0.0,0.0
tt0055614,16118,West Side Story,1961.0,93,69,84.0,168875.0,151.0,1.0,1,1,0.0,2.0
tt0055630,16537,Yojimbo,1961.0,95,39,96.0,42288.0,110.0,1.0,0,1,0.0,0.0
tt0055805,3644,Boccaccio '70,1962.0,60,10,78.0,2505.0,205.0,0.0,0,1,0.0,0.0
tt0055824,344,Cape Fear,1962.0,100,20,86.0,17709.0,106.0,1.0,0,1,0.0,0.0
tt0055830,347,Carnival of Souls,1962.0,86,35,73.0,9427.0,80.0,1.0,0,1,0.0,2.0
tt0055972,5856,Experiment in Terror,1962.0,100,6,77.0,1416.0,123.0,1.0,0,1,0.0,0.0
tt0056048,468,Gypsy,1962.0,64,14,74.0,6394.0,143.0,0.0,0,2,0.0,0.0
tt0056059,7128,Hatari!,1962.0,67,24,77.0,8668.0,157.0,0.0,0,1,0.0,0.0
tt0056196,561,Long Day's Journey Into Night,1962.0,94,16,86.0,3061.0,174.0,1.0,0,1,0.0,0.0
tt0056197,9134,The Longest Day,1962.0,87,23,90.0,42903.0,179.0,1.0,0,1,0.0,1.0
tt0056217,9466,The Man Who Shot Liberty Valance,1962.0,93,45,92.0,23641.0,123.0,1.0,1,1,0.0,0.0
tt0056262,605,The Music Man,1962.0,94,17,85.0,30530.0,152.0,1.0,0,1,0.0,1.0
tt0056264,607,Mutiny on the Bounty,1962.0,68,19,74.0,4457.0,179.0,0.0,0,1,0.0,1.0
tt0056291,8555,Knife in the Water,1962.0,100,33,85.0,7788.0,94.0,1.0,0,1,0.0,0.0
tt0056412,11817,Ride the High Country,,93,14,84.0,4062.0,94.0,1.0,0,1,,0.0
