tconst,directors,writers
tt0117768,nm0000484,"nm0550930,nm0020068,nm0286715"
tt0117797,nm0412517,nm0412517
tt0117802,nm0510731,nm0269463
tt0117826,nm0012155,"nm0301362,nm0301826,nm0000709,nm0441623,nm0012155"
tt0117891,nm0001454,"nm0001454,nm0262558,nm0119425,nm0060076"
tt0117894,nm0276169,"nm0000175,nm0568313,nm0276169"
tt0117898,nm0643422,"nm0860292,nm0343419"
tt0117909,nm0575523,nm0575523
tt0117913,nm0001708,"nm0001300,nm0326040"
tt0117924,nm0696309,"nm0103684,nm0005082"
tt0117951,nm0000965,"nm0920543,nm0388076"
tt0117958,nm0000114,nm0000114
tt0117965,nm0462895,"nm0121708,nm0462895"
tt0118011,nm0831207,nm0783068
tt0118073,nm0762541,"nm0777442,nm0253323,nm0438226,nm0073790,nm0956785"
tt0118083,nm0359081,"nm0374969,nm0359081,nm0906267"
tt0118138,"nm0067296,nm0769405","nm1776048,nm0271143,nm0271136,nm0797327"
tt0118147,nm0309382,\N
tt0118521,nm0539950,nm1376373
tt0118540,nm0000490,\N
tt0118541,nm0776114,nm0776114
tt0118588,nm0892400,"nm0018636,nm0892400"
tt0118589,nm0193554,"nm0921985,nm0486824"
tt0118660,nm0451326,nm0451168
tt0118663,nm0870186,nm0004752
tt0118665,nm0163706,"nm0666999,nm0559228,nm0335835,nm0163706,nm0584121"
tt0118715,"nm0001054,nm0001053","nm0001053,nm0001054"
tt0118749,nm0000759,nm0000759
tt0118750,nm0689385,"nm0119405,nm0662084"
tt0118751,nm0244892,"nm0244892,nm0244898"
tt0118755,nm0382072,"nm0636260,nm0779170,nm0436960"
tt0118788,nm0002797,"nm0025117,nm0182275,nm0002797,nm0328000,nm0701966"
tt0118799,nm0000905,"nm0148437,nm0000905"
tt0118818,nm0005139,nm0005139
tt0118819,nm0000264,"nm0000264,nm0719334,nm0520943,nm0346277"
tt0118826,nm0803203,"nm0162274,nm0322467,nm0448088,nm0803203"
tt0118843,nm0001437,nm0586235
tt0118849,nm0006498,nm0006498
tt0118852,nm0000199,nm0507277
tt0118906,nm0879423,"nm0617350,nm0879423"
tt0118927,nm0740213,"nm0490417,nm0740213"
tt0118998,nm0858525,"nm0517452,nm0560894,nm0505648"
tt0119008,nm0001565,"nm0685587,nm0940361,nm0001921"
tt0119013,nm0007139,"nm0415979,nm0597857"
tt0119038,nm0891554,nm0891554
tt0119055,nm0082841,nm0783544
tt0119072,nm0093051,"nm0093051,nm0117507,nm0825289"
tt0119084,nm0504495,"nm1661375,nm0169540"
tt0119086,nm0104193,"nm0011206,nm0166074,nm0478588"
tt0119088,nm0580726,"nm0366330,nm0130502"
tt0119097,nm0156828,nm0156828
tt0119116,nm0000108,"nm0000108,nm0436543"
tt0119137,nm0562645,"nm0853139,nm0000455,nm0909556"
tt0119142,nm0818465,"nm0398174,nm0525503"
tt0119169,nm0682251,"nm0682251,nm0894787"
tt0119174,nm0000399,"nm0104335,nm0274905"
tt0119177,nm0629272,nm0629272
tt0119190,nm0918873,"nm0911599,nm0647615,nm0920108"
tt0119203,nm0262923,"nm0262923,nm0956362"
tt0119215,nm0005367,"nm0773759,nm0465741,nm0782499"
tt0119219,nm0423646,"nm0670278,nm0169505,nm0812513"
tt0119239,nm0706800,"nm0101555,nm0706800,nm0787022"
tt0119247,nm0496312,"nm0223250,nm0296829,nm0496312"
tt0119250,nm0001429,nm0001429
tt0119263,nm0158857,"nm0158857,nm0874642,nm0946040"
tt0119272,nm0481567,nm0637491
tt0119282,"nm0166256,nm0615780","nm0166256,nm0615780,nm0568490,nm0789624,nm0575293,nm0436314,nm0927845,nm0142200,nm0708319,nm0811279,nm0314788,nm0361315,nm1073262,nm0322368,nm0448208,nm0606407,nm0234837,nm0258059"
tt0119304,nm0661751,nm0319213
tt0119305,nm0350455,"nm0711241,nm0350455,nm0443582"
tt0119327,nm0002049,"nm0002049,nm0259715"
tt0119349,nm0000487,"nm0600528,nm0770005"
tt0119361,nm0001438,nm0001438
tt0119375,nm0804408,"nm0296154,nm0804408"
tt0119385,nm0711745,"nm0711745,nm0007124"
tt0119389,nm0469273,"nm0650059,nm0326089,nm0342617"
tt0119432,nm0664756,"nm0658836,nm0508293,nm15150416,nm0116091,nm0262595,nm0317279"
tt0119448,nm0226016,"nm0096205,nm0311597,nm0226016,nm0576305"
tt0119457,nm0006798,"nm0180984,nm0006798"
tt0119502,nm0443181,"nm0143944,nm0443181"
tt0119512,nm0469103,"nm0295176,nm0904094"
tt0119522,nm0141222,"nm0382985,nm0589330,nm0005591"
tt0119560,nm0122653,nm0122653
tt0119561,nm0365057,nm0365057
tt0119588,nm0830629,"nm0000783,nm0002086,nm0204427,nm0503693,nm0830629"
tt0119626,nm0034899,"nm0034899,nm0754428"
tt0119640,nm0818465,"nm0185578,nm0741239"
tt0119642,nm0089502,nm0925973
tt0119657,nm0000626,nm0000626
tt0119670,nm0155093,"nm0679917,nm0495378"
tt0119707,nm0502954,"nm0095460,nm0440415,nm0923312,nm0864880,nm0295165,nm0007233"
tt0119792,nm0000198,nm0000198
tt0119815,nm0000853,"nm0300004,nm0785477"
tt0119820,nm0198059,nm0198059
tt0119822,nm0000985,"nm0029125,nm0000985"
tt0119887,nm0589106,"nm0441671,nm0000491"
tt0119889,nm0000783,"nm0503693,nm0102722,nm0000783,nm1569669"
tt0119910,nm0175115,nm0175115
tt0119934,nm0001801,"nm0001801,nm0601465"
tt0119981,nm0362854,"nm0039903,nm0362854,nm0380826,nm0753284"
tt0119989,nm0459170,"nm0125688,nm0208343"
tt0120001,nm0533564,"nm0054966,nm0778819"
tt0120029,nm0318795,"nm0043233,nm0563301,nm0258627"
tt0120036,nm0005436,nm0201304
tt0120087,nm0572114,"nm0395645,nm0424560,nm0456017"
tt0120088,nm0825790,nm0918973
tt0120090,nm0035404,nm0035404
tt0120112,nm0001024,nm0001023
tt0120125,nm0586482,"nm0586482,nm0406534,nm0657853"
tt0120126,nm0225269,\N
tt0120133,nm0006916,nm0745087
tt0120142,nm0589168,"nm1226733,nm0137342"
tt0120176,nm0000519,nm0000519
tt0120177,nm0228147,"nm0568825,nm0568416,nm0228147"
tt0120190,nm0192090,"nm0192090,nm0779011"
tt0120207,nm0425540,"nm0800791,nm0091650,nm0425540"
tt0120213,nm0446060,"nm0938774,nm0779592"
tt0120214,nm0917180,"nm0488849,nm0917180"
tt0120255,nm0000382,"nm0000382,nm0001930"
tt0120321,nm0264220,nm0018963
tt0120324,nm0000600,nm0809895
tt0120338,nm0000116,nm0000116
tt0120381,nm0194274,nm0194274
tt0120382,nm0001837,nm0629272
tt0120456,nm0698184,"nm0352032,nm0795664"
tt0120472,nm0311086,"nm0311086,nm0317516,nm0574090,nm1074124"
tt0120522,nm0878756,"nm0878756,nm0701589"
tt0120550,nm0004305,nm0070676
tt0120576,nm0354279,nm0559985
tt0120577,nm0160602,nm0160602
tt0120586,nm0443411,nm0571346
tt0120611,nm0635759,nm0275286
tt0120619,nm0546159,nm0271259
tt0120623,"nm0005124,nm0004056","nm0004056,nm0568490,nm0789624,nm0005124,nm0710020"
tt0120626,nm0210218,"nm0210218,nm0213476"
tt0120655,nm0003620,nm0003620
tt0120670,nm0005871,nm0815425
tt0120689,nm0001104,"nm0000175,nm0001104"
tt0120696,nm0004121,nm0003662
tt0120701,nm0378893,nm0776114
tt0120710,nm0001403,"nm0939562,nm0732430,nm0001403"
tt0120714,nm0597516,"nm0597516,nm0203545"
tt0120723,nm0254120,"nm0294580,nm0254120"
tt0120725,nm0390844,"nm0662785,nm0676361"
tt0120731,nm0868153,"nm0054621,nm0868153"
tt0120737,nm0001392,"nm0866058,nm0909638,nm0101991,nm0001392"
tt0120741,nm0000720,"nm0000720,nm0634864,nm0573118"
tt0120753,nm0000694,"nm0458911,nm0095104"
tt0120764,nm0677953,"nm0338804,nm0832300,nm0646818"
tt0120765,nm0499724,"nm0000345,nm0783544"
tt0120768,nm0336620,"nm0218621,nm0289100"
tt0120784,nm0001338,"nm0922799,nm0001338,nm0371249"
tt0120789,nm0002657,nm0002657
tt0120802,nm0320660,"nm0001528,nm0320660"
tt0120836,nm0689385,"nm0177074,nm0576149,nm0005450"
tt0120851,nm0915394,"nm0076791,nm0915394"
tt0120855,"nm0118333,nm0510674","nm0614742,nm0879318,nm0925276,nm0123194,nm0027459,nm0448208,nm0390511,nm0110293,nm0110294,nm0234837,nm0326814,nm0370696,nm2320658,nm0363125,nm0443855,nm0560329,nm0632893,nm0636236,nm0811279,nm0839720,nm2150515,nm0910559,nm1850798,nm0927845,nm0708319"
tt0120866,nm0853380,"nm0000636,nm0853380"
tt0120878,nm0006959,nm0830224
tt0120891,nm0001756,"nm0859029,nm0859049,nm0934093,nm0534681,nm0696949,nm0780620"
tt0120903,nm0001741,"nm0220892,nm0001741,nm0371684"
tt0120910,"nm0019282,nm0110293,nm0110294,nm0125186,nm0322368,nm0325196,nm0353893,nm0402563","nm0325196,nm0969162,nm0335469,nm0668998,nm0266338,nm0110293,nm0110294,nm0353893,nm0721675,nm0575293,nm0026153,nm0152312,nm0238085,nm0789873"
tt0120917,nm0227540,"nm0721675,nm0930261,nm0227540,nm0027459,nm2320658,nm0636236,nm0021249,nm0414226,nm0291208,nm0448208,nm0910559"
tt0122037,nm0502577,"nm0502577,nm0263518"
tt0122082,nm0309697,"nm0309697,nm2853954,nm4883975"
tt0122529,nm0001325,nm0001325
tt0122670,nm0757157,"nm0316225,nm0757157"
tt0122689,nm0512327,\N
tt0122735,nm0195039,"nm0195039,nm0547852,nm0784720"
tt0122770,nm0900712,"nm0478005,nm0900712"
tt0122883,nm0757157,"nm0316225,nm0757157"
tt0123034,nm0741942,nm0741942
tt0123221,nm0921013,nm0921013
tt0123328,nm0150897,nm0150897
tt0123335,nm0409270,"nm0409467,nm0793753"
tt0123390,nm0236664,"nm0236664,nm0862629"
tt0123391,nm0236664,"nm0236664,nm0862629"
tt0123392,nm0236664,"nm0236664,nm0862629"
tt0123832,nm0314104,nm0076602
tt0123948,nm0475905,nm0475905
tt0124207,nm0161056,nm0161056
